,0
0,20220401
1,20220401
2,20220401
3,20220401
4,20220401
5,20220401
6,20220401
7,20220401
8,20220401
9,20220401
10,20220401
11,20220401
12,20220401
13,20220401
14,20220401
15,20220401
16,20220401
17,20220401
18,20220401
19,20220401
20,20220401
21,20220401
22,20220401
23,20220401
24,20220402
25,20220402
26,20220402
27,20220402
28,20220402
29,20220402
30,20220402
31,20220402
32,20220402
33,20220402
34,20220402
35,20220402
36,20220402
37,20220402
38,20220402
39,20220402
40,20220402
41,20220402
42,20220402
43,20220402
44,20220402
45,20220402
46,20220402
47,20220402
48,20220403
49,20220403
50,20220403
51,20220403
52,20220403
53,20220403
54,20220403
55,20220403
56,20220403
57,20220403
58,20220403
59,20220403
60,20220403
61,20220403
62,20220403
63,20220403
64,20220403
65,20220403
66,20220403
67,20220403
68,20220403
69,20220403
70,20220403
71,20220403
72,20220404
73,20220404
74,20220404
75,20220404
76,20220404
77,20220404
78,20220404
79,20220404
80,20220404
81,20220404
82,20220404
83,20220404
84,20220404
85,20220404
86,20220404
87,20220404
88,20220404
89,20220404
90,20220404
91,20220404
92,20220404
93,20220404
94,20220404
95,20220404
96,20220405
97,20220405
98,20220405
99,20220405
100,20220405
101,20220405
102,20220405
103,20220405
104,20220405
105,20220405
106,20220405
107,20220405
108,20220405
109,20220405
110,20220405
111,20220405
112,20220405
113,20220405
114,20220405
115,20220405
116,20220405
117,20220405
118,20220405
119,20220405
120,20220406
121,20220406
122,20220406
123,20220406
124,20220406
125,20220406
126,20220406
127,20220406
128,20220406
129,20220406
130,20220406
131,20220406
132,20220406
133,20220406
134,20220406
135,20220406
136,20220406
137,20220406
138,20220406
139,20220406
140,20220406
141,20220406
142,20220406
143,20220406
144,20220407
145,20220407
146,20220407
147,20220407
148,20220407
149,20220407
150,20220407
151,20220407
152,20220407
153,20220407
154,20220407
155,20220407
156,20220407
157,20220407
158,20220407
159,20220407
160,20220407
161,20220407
162,20220407
163,20220407
164,20220407
165,20220407
166,20220407
167,20220407
168,20220408
169,20220408
170,20220408
171,20220408
172,20220408
173,20220408
174,20220408
175,20220408
176,20220408
177,20220408
178,20220408
179,20220408
180,20220408
181,20220408
182,20220408
183,20220408
184,20220408
185,20220408
186,20220408
187,20220408
188,20220408
189,20220408
190,20220408
191,20220408
192,20220409
193,20220409
194,20220409
195,20220409
196,20220409
197,20220409
198,20220409
199,20220409
200,20220409
201,20220409
202,20220409
203,20220409
204,20220409
205,20220409
206,20220409
207,20220409
208,20220409
209,20220409
210,20220409
211,20220409
212,20220409
213,20220409
214,20220409
215,20220409
216,20220410
217,20220410
218,20220410
219,20220410
220,20220410
221,20220410
222,20220410
223,20220410
224,20220410
225,20220410
226,20220410
227,20220410
228,20220410
229,20220410
230,20220410
231,20220410
232,20220410
233,20220410
234,20220410
235,20220410
236,20220410
237,20220410
238,20220410
239,20220410
240,20220411
241,20220411
242,20220411
243,20220411
244,20220411
245,20220411
246,20220411
247,20220411
248,20220411
249,20220411
250,20220411
251,20220411
252,20220411
253,20220411
254,20220411
255,20220411
256,20220411
257,20220411
258,20220411
259,20220411
260,20220411
261,20220411
262,20220411
263,20220411
264,20220412
265,20220412
266,20220412
267,20220412
268,20220412
269,20220412
270,20220412
271,20220412
272,20220412
273,20220412
274,20220412
275,20220412
276,20220412
277,20220412
278,20220412
279,20220412
280,20220412
281,20220412
282,20220412
283,20220412
284,20220412
285,20220412
286,20220412
287,20220412
288,20220413
289,20220413
290,20220413
291,20220413
292,20220413
293,20220413
294,20220413
295,20220413
296,20220413
297,20220413
298,20220413
299,20220413
300,20220413
301,20220413
302,20220413
303,20220413
304,20220413
305,20220413
306,20220413
307,20220413
308,20220413
309,20220413
310,20220413
311,20220413
312,20220414
313,20220414
314,20220414
315,20220414
316,20220414
317,20220414
318,20220414
319,20220414
320,20220414
321,20220414
322,20220414
323,20220414
324,20220414
325,20220414
326,20220414
327,20220414
328,20220414
329,20220414
330,20220414
331,20220414
332,20220414
333,20220414
334,20220414
335,20220414
336,20220415
337,20220415
338,20220415
339,20220415
340,20220415
341,20220415
342,20220415
343,20220415
344,20220415
345,20220415
346,20220415
347,20220415
348,20220415
349,20220415
350,20220415
351,20220415
352,20220415
353,20220415
354,20220415
355,20220415
356,20220415
357,20220415
358,20220415
359,20220415
360,20220416
361,20220416
362,20220416
363,20220416
364,20220416
365,20220416
366,20220416
367,20220416
368,20220416
369,20220416
370,20220416
371,20220416
372,20220416
373,20220416
374,20220416
375,20220416
376,20220416
377,20220416
378,20220416
379,20220416
380,20220416
381,20220416
382,20220416
383,20220416
384,20220417
385,20220417
386,20220417
387,20220417
388,20220417
389,20220417
390,20220417
391,20220417
392,20220417
393,20220417
394,20220417
395,20220417
396,20220417
397,20220417
398,20220417
399,20220417
400,20220417
401,20220417
402,20220417
403,20220417
404,20220417
405,20220417
406,20220417
407,20220417
408,20220418
409,20220418
410,20220418
411,20220418
412,20220418
413,20220418
414,20220418
415,20220418
416,20220418
417,20220418
418,20220418
419,20220418
420,20220418
421,20220418
422,20220418
423,20220418
424,20220418
425,20220418
426,20220418
427,20220418
428,20220418
429,20220418
430,20220418
431,20220418
432,20220419
433,20220419
434,20220419
435,20220419
436,20220419
437,20220419
438,20220419
439,20220419
440,20220419
441,20220419
442,20220419
443,20220419
444,20220419
445,20220419
446,20220419
447,20220419
448,20220419
449,20220419
450,20220419
451,20220419
452,20220419
453,20220419
454,20220419
455,20220419
456,20220420
457,20220420
458,20220420
459,20220420
460,20220420
461,20220420
462,20220420
463,20220420
464,20220420
465,20220420
466,20220420
467,20220420
468,20220420
469,20220420
470,20220420
471,20220420
472,20220420
473,20220420
474,20220420
475,20220420
476,20220420
477,20220420
478,20220420
479,20220420
480,20220421
481,20220421
482,20220421
483,20220421
484,20220421
485,20220421
486,20220421
487,20220421
488,20220421
489,20220421
490,20220421
491,20220421
492,20220421
493,20220421
494,20220421
495,20220421
496,20220421
497,20220421
498,20220421
499,20220421
500,20220421
501,20220421
502,20220421
503,20220421
504,20220422
505,20220422
506,20220422
507,20220422
508,20220422
509,20220422
510,20220422
511,20220422
512,20220422
513,20220422
514,20220422
515,20220422
516,20220422
517,20220422
518,20220422
519,20220422
520,20220422
521,20220422
522,20220422
523,20220422
524,20220422
525,20220422
526,20220422
527,20220422
528,20220423
529,20220423
530,20220423
531,20220423
532,20220423
533,20220423
534,20220423
535,20220423
536,20220423
537,20220423
538,20220423
539,20220423
540,20220423
541,20220423
542,20220423
543,20220423
544,20220423
545,20220423
546,20220423
547,20220423
548,20220423
549,20220423
550,20220423
551,20220423
552,20220424
553,20220424
554,20220424
555,20220424
556,20220424
557,20220424
558,20220424
559,20220424
560,20220424
561,20220424
562,20220424
563,20220424
564,20220424
565,20220424
566,20220424
567,20220424
568,20220424
569,20220424
570,20220424
571,20220424
572,20220424
573,20220424
574,20220424
575,20220424
576,20220425
577,20220425
578,20220425
579,20220425
580,20220425
581,20220425
582,20220425
583,20220425
584,20220425
585,20220425
586,20220425
587,20220425
588,20220425
589,20220425
590,20220425
591,20220425
592,20220425
593,20220425
594,20220425
595,20220425
596,20220425
597,20220425
598,20220425
599,20220425
600,20220426
601,20220426
602,20220426
603,20220426
604,20220426
605,20220426
606,20220426
607,20220426
608,20220426
609,20220426
610,20220426
611,20220426
612,20220426
613,20220426
614,20220426
615,20220426
616,20220426
617,20220426
618,20220426
619,20220426
620,20220426
621,20220426
622,20220426
623,20220426
624,20220427
625,20220427
626,20220427
627,20220427
628,20220427
629,20220427
630,20220427
631,20220427
632,20220427
633,20220427
634,20220427
635,20220427
636,20220427
637,20220427
638,20220427
639,20220427
640,20220427
641,20220427
642,20220427
643,20220427
644,20220427
645,20220427
646,20220427
647,20220427
648,20220428
649,20220428
650,20220428
651,20220428
652,20220428
653,20220428
654,20220428
655,20220428
656,20220428
657,20220428
658,20220428
659,20220428
660,20220428
661,20220428
662,20220428
663,20220428
664,20220428
665,20220428
666,20220428
667,20220428
668,20220428
669,20220428
670,20220428
671,20220428
672,20220429
673,20220429
674,20220429
675,20220429
676,20220429
677,20220429
678,20220429
679,20220429
680,20220429
681,20220429
682,20220429
683,20220429
684,20220429
685,20220429
686,20220429
687,20220429
688,20220429
689,20220429
690,20220429
691,20220429
692,20220429
693,20220429
694,20220429
695,20220429
696,20220430
697,20220430
698,20220430
699,20220430
700,20220430
701,20220430
702,20220430
703,20220430
704,20220430
705,20220430
706,20220430
707,20220430
708,20220430
709,20220430
710,20220430
711,20220430
712,20220430
713,20220430
714,20220430
715,20220430
716,20220430
717,20220430
718,20220430
719,20220430
720,20220501
721,20220501
722,20220501
723,20220501
724,20220501
725,20220501
726,20220501
727,20220501
728,20220501
729,20220501
730,20220501
731,20220501
732,20220501
733,20220501
734,20220501
735,20220501
736,20220501
737,20220501
738,20220501
739,20220501
740,20220501
741,20220501
742,20220501
743,20220501
744,20220502
745,20220502
746,20220502
747,20220502
748,20220502
749,20220502
750,20220502
751,20220502
752,20220502
753,20220502
754,20220502
755,20220502
756,20220502
757,20220502
758,20220502
759,20220502
760,20220502
761,20220502
762,20220502
763,20220502
764,20220502
765,20220502
766,20220502
767,20220502
768,20220503
769,20220503
770,20220503
771,20220503
772,20220503
773,20220503
774,20220503
775,20220503
776,20220503
777,20220503
778,20220503
779,20220503
780,20220503
781,20220503
782,20220503
783,20220503
784,20220503
785,20220503
786,20220503
787,20220503
788,20220503
789,20220503
790,20220503
791,20220503
792,20220504
793,20220504
794,20220504
795,20220504
796,20220504
797,20220504
798,20220504
799,20220504
800,20220504
801,20220504
802,20220504
803,20220504
804,20220504
805,20220504
806,20220504
807,20220504
808,20220504
809,20220504
810,20220504
811,20220504
812,20220504
813,20220504
814,20220504
815,20220504
816,20220505
817,20220505
818,20220505
819,20220505
820,20220505
821,20220505
822,20220505
823,20220505
824,20220505
825,20220505
826,20220505
827,20220505
828,20220505
829,20220505
830,20220505
831,20220505
832,20220505
833,20220505
834,20220505
835,20220505
836,20220505
837,20220505
838,20220505
839,20220505
840,20220506
841,20220506
842,20220506
843,20220506
844,20220506
845,20220506
846,20220506
847,20220506
848,20220506
849,20220506
850,20220506
851,20220506
852,20220506
853,20220506
854,20220506
855,20220506
856,20220506
857,20220506
858,20220506
859,20220506
860,20220506
861,20220506
862,20220506
863,20220506
864,20220507
865,20220507
866,20220507
867,20220507
868,20220507
869,20220507
870,20220507
871,20220507
872,20220507
873,20220507
874,20220507
875,20220507
876,20220507
877,20220507
878,20220507
879,20220507
880,20220507
881,20220507
882,20220507
883,20220507
884,20220507
885,20220507
886,20220507
887,20220507
888,20220508
889,20220508
890,20220508
891,20220508
892,20220508
893,20220508
894,20220508
895,20220508
896,20220508
897,20220508
898,20220508
899,20220508
900,20220508
901,20220508
902,20220508
903,20220508
904,20220508
905,20220508
906,20220508
907,20220508
908,20220508
909,20220508
910,20220508
911,20220508
912,20220509
913,20220509
914,20220509
915,20220509
916,20220509
917,20220509
918,20220509
919,20220509
920,20220509
921,20220509
922,20220509
923,20220509
924,20220509
925,20220509
926,20220509
927,20220509
928,20220509
929,20220509
930,20220509
931,20220509
932,20220509
933,20220509
934,20220509
935,20220509
936,20220510
937,20220510
938,20220510
939,20220510
940,20220510
941,20220510
942,20220510
943,20220510
944,20220510
945,20220510
946,20220510
947,20220510
948,20220510
949,20220510
950,20220510
951,20220510
952,20220510
953,20220510
954,20220510
955,20220510
956,20220510
957,20220510
958,20220510
959,20220510
960,20220511
961,20220511
962,20220511
963,20220511
964,20220511
965,20220511
966,20220511
967,20220511
968,20220511
969,20220511
970,20220511
971,20220511
972,20220511
973,20220511
974,20220511
975,20220511
976,20220511
977,20220511
978,20220511
979,20220511
980,20220511
981,20220511
982,20220511
983,20220511
984,20220512
985,20220512
986,20220512
987,20220512
988,20220512
989,20220512
990,20220512
991,20220512
992,20220512
993,20220512
994,20220512
995,20220512
996,20220512
997,20220512
998,20220512
999,20220512
